2269	5.05
3207	4.56
4055	5.61
338	2.89
1229	3.82
3157	3.17
3456	4.18
3180	4.94
3473	3.47
1941	4.91
311	3.62
166	4.85
2263	4.66
2240	4.02
3290	5.20
1612	3.25
3970	6.01
3163	4.69
2011	6.19
3744	6.36
3424	4.18
1909	4.72
1650	4.76
1786	7.38
611	4.74
2819	4.79
1457	4.59
2272	5.41
2200	4.91
1493	3.83
786	3.47
21	2.39
0	2.94
1748	4.43
467	3.62
1711	6.98
1471	6.14
1337	4.32
3112	5.02
2415	5.63
18	2.89
3300	4.67
4033	4.85
2593	5.05
1093	1.86
254	6.19
297	3.96
931	6.08
2340	3.15
576	3.24
1090	2.47
867	4.74
1492	3.41
1640	5.11
2465	4.74
3867	5.53
3686	5.44
3190	4.41
2420	3.74
315	5.14
236	5.93
3530	5.51
1721	6.77
2326	3.08
2830	6.03
3319	5.35
2423	4.66
838	3.47
3623	5.90
2839	4.84
891	6.57
3237	4.85
961	4.24
3520	4.18
1368	3.69
2039	6.01
2444	4.60
3130	5.70
2700	5.70
3369	4.57
648	5.56
3330	3.50
263	2.78
1056	3.41
3965	6.00
667	6.02
3390	5.42
3349	2.89
63	4.95
2925	6.51
564	4.13
2661	4.69
2377	3.57
4038	5.20
3099	4.69
3281	3.47
2363	5.59
3260	6.04
1214	6.26
626	4.90
1309	3.29
643	5.00
1063	3.74
3829	6.68
189	5.83
1145	4.37
2229	5.49
33	3.71
3480	4.76
191	6.28
508	5.25
2993	6.75
2528	5.41
2405	3.85
3197	4.90
3933	5.16
1308	3.15
501	4.55
1347	2.85
1590	4.76
28	3.57
2390	3.62
1900	5.60
2072	4.07
2548	4.58
2198	4.51
822	4.59
2380	3.43
3154	3.24
1923	5.41
1328	3.10
471	4.21
2515	4.07
1869	4.13
1982	7.93
2393	3.85
2123	4.56
2852	4.76
1078	3.59
1858	3.90
104	4.41
1410	4.18
753	5.57
2395	4.79
2798	8.70
1685	4.36
2157	5.23
3544	5.07
2076	4.07
598	4.01
1645	5.43
993	5.63
837	3.12
1672	5.42
3217	3.47
553	5.39
2421	4.16
3999	6.69
264	3.29
709	4.73
2307	3.18
374	4.06
3047	7.02
834	3.73
2175	5.50
2453	3.85
436	4.31
3452	5.02
4039	5.35
3073	3.17
789	3.40
3798	6.19
3902	6.54
3184	3.92
1382	3.87
1521	4.41
3839	7.97
3828	6.26
1191	4.58
441	5.81
623	6.02
1136	3.15
2452	3.43
349	3.71
1961	6.59
1990	4.76
2616	6.25
1801	4.41
4089	7.03
435	4.92
3274	5.20
3423	4.77
1817	4.15
1733	4.59
3234	5.51
451	3.90
600	4.41
3402	4.34
1306	3.59
1137	3.03
2511	5.19
1826	5.07
3701	5.40
2863	6.96
2762	6.63
221	4.55
497	4.29
3856	3.59
2182	4.56
3910	4.08
2940	6.19
3895	5.35
2957	6.57
246	4.85
37	3.66
1505	4.96
2899	4.51
3106	4.67
2165	4.21
54	4.01
67	2.73
765	6.67
2919	5.68
864	4.41
1126	3.33
2509	4.74
2257	3.62
1697	5.25
2609	4.74
672	5.51
873	5.08
2829	5.18
1114	3.59
373	3.71
1450	5.81
258	2.89
3562	6.85
3543	4.82
2280	6.25
15	4.11
2459	5.37
3763	6.87
1100	2.56
1951	6.25
2448	3.43
3974	5.75
3542	4.67
306	3.47
1942	5.26
1025	2.40
3577	6.24
3364	3.31
1441	4.41
1704	6.21
1324	4.43
3355	4.41
2527	5.50
465	3.17
1250	4.98
615	4.74
2894	5.75
698	7.52
1425	2.98
1592	5.66
1969	5.98
3680	5.26
1022	7.03
3982	7.09
1908	4.30
518	4.06
2659	5.19
1209	5.65
3446	4.67
294	3.47
1021	6.18
2746	7.97
686	7.52
3378	4.08
3249	5.08
4048	4.69
2150	4.25
649	5.39
584	4.13
918	5.09
3273	4.59
3661	4.81
461	4.29
577	3.12
260	1.86
1525	4.67
2626	4.18
2210	5.66
4017	6.42
515	4.16
1856	3.41
3789	6.42
532	3.29
3648	4.09
291	3.62
1456	4.28
286	4.02
2951	6.23
733	5.88
3871	5.35
2015	6.01
1374	4.68
2336	3.74
862	5.40
964	3.82
1316	2.82
2021	5.75
3077	3.17
3429	4.01
1339	5.26
370	4.06
2782	7.18
2495	6.47
1096	2.87
1992	5.42
849	3.12
1619	3.43
947	6.26
787	3.31
3141	2.63
1966	7.93
194	4.01
3814	7.27
2469	4.69
3214	5.75
